id;jenis_kelamin;umur;asal;penempatan;gaji;pendidikan;IPK;pengalaman;jenis_rekrut;status_rekrut
276;0;3;30;22;4;0;02.43;1;1;0
277;1;2;3;33;3;0;02.21;2;1;0
278;1;3;22;22;1;1;03.05;0;1;1
279;1;2;18;18;2;2;03.44;2;2;1
280;1;2;20;20;3;0;02.01;3;1;0
281;1;1;11;11;1;1;03.09;0;1;1
282;0;1;27;27;1;1;03.08;2;1;1
283;1;2;16;16;2;3;0,170138889;2;2;1
284;0;3;4;22;4;0;0,106944444;1;1;0
285;1;1;9;27;3;0;01.49;1;2;0
286;0;2;27;17;5;0;0,140277778;0;1;0
287;0;1;23;4;4;0;02.41;5;1;0
288;0;2;7;30;5;0;0,10625;3;2;0
289;0;2;6;6;2;2;03.01;0;1;1
290;0;2;20;20;1;1;03.05;1;1;1
291;0;1;3;3;1;2;03.02;1;1;1
292;1;3;28;28;2;3;03.58;2;2;1
293;0;3;12;21;5;0;01.21;1;2;0
294;0;2;25;25;2;2;03.39;4;2;1
295;1;1;24;24;2;3;03.03;4;2;1
296;0;1;32;32;2;1;03.05;2;1;1
297;1;1;18;18;2;3;03.49;4;2;1
298;1;2;16;16;1;1;03.07;2;1;1
299;1;3;20;1;3;0;02.04;3;1;0
300;0;1;21;21;2;2;03.07;2;1;1
301;0;1;20;17;4;0;02.19;1;1;0
302;1;2;2;2;1;1;03.03;2;1;1
303;0;1;12;12;3;3;0,193055556;3;2;1
304;0;1;19;3;5;0;01.04;0;1;0
305;1;3;9;11;4;0;02.24;4;1;0
306;1;1;6;6;2;1;0,172222222;2;2;1
307;1;3;34;11;5;0;0,134722222;2;1;0
308;0;2;23;23;2;3;0,186805556;4;2;1
309;0;1;14;14;1;2;03.03;0;1;1
310;0;2;14;14;3;2;03.06;2;2;1
311;0;2;4;4;2;2;03.01;0;1;1
312;1;2;12;12;2;2;4;1;1;1
313;1;1;16;16;2;1;03.41;3;2;1
314;0;1;8;5;4;0;02.33;0;2;0
315;1;2;7;7;3;1;0,175;2;2;1
316;0;1;28;19;4;0;01.03;4;1;0
317;1;3;17;23;3;0;02.41;4;2;0
318;0;3;10;22;5;0;02.37;5;1;0
319;0;2;15;15;2;1;03.01;0;1;1
320;0;1;4;12;5;0;02.29;0;1;0
321;0;3;27;7;3;0;02.01;4;1;0
322;1;3;15;27;3;0;02.19;0;1;0
323;0;1;13;13;1;2;4;2;1;1
324;1;2;17;17;1;1;03.02;0;1;1
325;1;2;11;14;3;0;0,140972222;1;1;0
326;0;2;3;3;2;1;03.33;4;2;1
327;0;2;28;21;3;0;01.57;1;2;0
328;1;2;33;33;2;3;0,192361111;3;2;1
329;0;2;21;21;2;3;0,170833333;4;2;1
330;0;1;32;32;3;2;0,182638889;2;2;1
331;0;2;3;3;1;1;03.07;1;1;1
332;1;2;17;17;2;3;0,186111111;4;2;1
333;0;1;1;34;5;0;0,084722222;5;2;0
334;1;2;3;3;1;2;03.03;1;1;1
335;1;1;15;15;2;3;03.39;3;2;1
336;0;3;19;9;3;0;02.04;1;1;0
337;0;1;11;11;3;2;03.33;2;2;1
338;0;1;17;17;1;2;03.07;1;1;1
339;1;1;25;25;1;1;03.06;0;1;1
340;1;1;15;10;3;0;01.25;3;2;0
341;1;2;26;8;3;0;01.41;2;1;0
342;0;2;2;8;3;0;01.54;2;2;0
343;1;1;20;25;5;0;0,099305556;3;1;0
344;0;1;31;31;2;2;03.07;2;1;1
345;0;1;32;32;3;3;0,184027778;3;2;1
346;0;2;32;32;1;2;03.03;1;1;1
347;1;2;5;5;1;1;03.03;2;1;1
348;0;2;3;25;3;0;0,132638889;5;1;0
349;1;3;30;3;5;0;0,133333333;4;2;0
350;0;3;31;7;5;0;01.46;3;2;0
351;1;2;31;9;3;0;02.22;3;1;0
352;1;2;6;6;1;2;03.02;0;1;1
353;0;2;9;9;1;1;03.01;0;1;1
354;0;1;26;26;3;1;03.45;3;2;1
355;0;3;20;6;3;0;02.44;0;2;0
356;1;1;16;16;2;1;03.06;4;2;1
357;1;1;11;9;5;0;02.01;1;1;0
358;1;1;34;34;2;1;03.02;2;1;1
359;0;1;27;21;4;0;0,152083333;1;1;0
360;1;1;13;13;2;1;0,175;4;2;1
361;0;1;22;22;3;2;03.53;2;2;1
362;0;2;28;28;3;3;03.43;3;2;1
363;0;1;24;23;5;0;0,095138889;1;1;0
364;1;1;7;5;5;0;0,150694444;0;2;0
365;0;3;3;22;5;0;01.32;2;2;0
366;1;2;17;17;2;1;03.04;1;1;1
367;0;2;3;3;3;2;03.47;4;2;1
368;1;2;8;6;4;0;01.28;1;2;0
369;0;2;6;9;5;0;0,138194444;5;2;0
370;1;2;9;26;3;0;02.38;4;1;0
395;0;3;17;5;3;0;01.05;1;2;0
396;0;3;24;3;5;0;02.04;4;1;0
397;0;2;24;24;3;2;03.56;2;2;1
398;1;1;6;6;3;3;0,189583333;3;2;1
399;1;1;22;22;1;1;03.04;2;1;1
400;1;1;34;34;1;2;4;1;1;1
401;0;2;9;9;3;1;0,167361111;4;2;1
402;1;1;28;11;3;0;0,094444444;5;2;0
403;1;2;3;3;1;1;4;2;1;1
404;1;1;1;1;2;1;03.09;1;1;1
405;0;1;25;25;2;1;03.39;4;2;1
406;0;1;22;22;2;1;03.03;2;1;1
407;1;1;17;17;2;1;03.08;0;1;1
408;0;1;10;10;2;1;03.27;3;2;1
409;1;2;4;4;2;2;03.04;1;1;1
410;0;2;13;8;3;0;0,140972222;3;2;0
411;1;1;17;17;1;2;03.08;2;1;1
412;0;3;3;29;5;0;02.02;5;2;0
413;1;2;31;31;3;1;03.52;4;2;1
414;0;1;19;18;3;0;01.44;0;2;0
415;1;1;18;18;1;1;03.07;0;1;1
416;1;2;31;31;3;3;03.35;4;2;1
417;0;1;18;18;3;3;03.06;2;2;1
418;0;2;28;28;2;2;03.47;4;2;1
419;1;1;1;34;5;0;01.18;4;1;0
420;1;2;31;31;2;2;03.43;2;2;1
421;1;3;11;33;3;0;0,107638889;0;1;0
422;1;1;30;30;3;2;03.42;2;2;1
423;0;2;10;10;1;2;03.07;1;1;1
424;1;3;9;6;3;0;0,1;5;1;0
425;1;1;15;26;4;0;0,135416667;2;1;0
426;0;1;10;10;2;3;0,171527778;2;2;1
427;0;3;18;34;4;0;0,110416667;1;1;0
428;1;1;9;9;1;1;03.06;0;1;1
429;1;2;18;18;2;1;03.02;0;1;1
430;1;2;22;22;1;2;03.08;0;1;1
431;1;2;5;12;3;0;01.38;1;2;0
432;1;2;16;16;3;2;0,179166667;4;2;1
433;1;3;6;6;3;0;0,088888889;2;1;0
434;1;2;4;31;4;0;02.27;4;2;0
435;1;2;3;10;5;0;02.56;1;1;0
436;0;2;29;28;4;0;02.48;3;2;0
437;0;2;17;12;3;0;0,143055556;0;2;0
438;1;3;23;6;4;0;0,098611111;1;1;0
439;0;3;30;26;4;0;0,14375;2;1;0
440;1;1;26;17;5;0;0,129166667;0;1;0
441;1;2;18;18;2;3;03.49;3;2;1
442;0;1;24;13;3;0;02.53;4;1;0
443;1;1;11;11;2;3;0,167361111;2;2;1
444;0;1;17;17;1;1;03.06;0;1;1
445;0;1;10;10;3;3;0,16875;4;2;1
446;0;3;26;34;4;0;02.04;2;2;0
447;0;1;20;20;3;3;03.39;3;2;1
448;0;2;13;34;5;0;0,096527778;0;2;0
449;0;2;8;15;3;0;02.06;3;2;0
450;0;1;23;4;5;0;0,149305556;1;2;0
451;0;1;13;13;3;1;03.29;4;2;1
452;0;2;31;7;4;0;0,13125;3;2;0
453;1;1;19;10;4;0;02.05;0;2;0
454;0;2;26;26;2;3;03.47;2;2;1
455;0;2;27;25;4;0;01.12;2;1;0
456;0;2;11;11;3;3;0,191666667;2;2;1
457;1;1;14;32;4;0;01.42;1;2;0
458;1;1;7;30;4;0;01.05;5;2;0
459;1;2;2;2;1;1;4;1;1;1
460;0;2;3;3;2;1;03.47;2;2;1
461;0;1;11;9;5;0;01.19;1;1;0
462;0;1;24;29;4;0;0,109027778;2;2;0
463;0;1;7;7;3;2;03.09;2;2;1
464;1;2;20;19;3;0;02.31;4;2;0
465;1;1;15;15;2;2;03.53;3;2;1
466;1;2;5;10;3;0;0,127777778;5;1;0
467;0;1;26;6;3;0;01.36;1;1;0
468;1;2;21;21;2;2;03.09;1;1;1
469;0;1;34;34;1;1;4;1;1;1
470;0;2;18;31;3;0;02.14;2;1;0
471;1;1;26;26;2;2;03.07;2;2;1
472;0;1;25;25;2;1;03.36;3;2;1
473;0;3;34;24;3;0;02.32;0;2;0
474;0;2;22;22;2;1;4;0;1;1
475;0;2;34;33;4;0;01.15;0;1;0
476;1;1;7;7;2;3;03.54;3;2;1
477;0;2;6;31;5;0;01.52;3;1;0
478;0;1;30;30;4;0;02.58;5;2;0
479;1;2;20;20;1;1;03.05;2;1;1
480;1;1;12;12;1;2;03.04;2;1;1
481;0;1;24;24;3;3;03.09;3;2;1
482;1;3;21;28;4;0;01.14;0;1;0
483;0;2;4;4;2;2;03.04;1;1;1
484;1;1;8;8;2;2;03.05;2;1;1
485;1;1;18;18;1;2;03.01;1;1;1
486;0;3;5;9;5;0;01.33;0;1;0
487;1;1;26;26;3;2;0,167361111;2;2;1
488;1;3;31;5;5;0;02.03;3;2;0
489;1;2;11;3;4;0;0,135416667;5;2;0
490;1;1;6;11;3;0;0,132638889;2;1;0
491;0;3;6;18;3;0;0,145138889;2;1;0
492;1;2;12;13;3;0;02.07;1;2;0
493;0;1;29;29;2;3;0,19375;4;2;1
494;0;2;33;33;2;1;03.42;2;2;1
495;0;2;17;32;4;0;02.03;1;1;0
496;0;3;14;12;3;0;01.54;5;1;0
497;0;1;32;32;4;0;01.36;3;2;0
498;0;2;16;31;4;0;01.17;3;2;0
499;0;1;26;26;1;2;03.01;0;1;1
500;0;2;20;21;3;0;01.04;0;1;0
501;0;2;28;25;5;0;02.15;4;1;0
502;1;1;1;1;3;2;0,190972222;2;2;1
503;0;2;20;20;1;1;03.08;0;1;1
504;0;1;11;11;1;2;03.02;1;1;1
505;1;2;5;5;2;3;0,189583333;2;2;1
506;1;1;25;25;2;1;03.55;4;2;1
507;1;1;9;9;2;3;03.49;2;2;1
508;0;1;18;23;4;0;0,147222222;1;1;0
509;0;2;6;16;4;0;0,134722222;4;2;0
510;1;1;19;19;3;2;03.27;4;2;1
511;0;2;28;28;3;1;03.52;3;2;1
512;1;1;5;5;3;1;0,18125;4;2;1
513;0;2;19;19;1;2;03.01;1;1;1
514;1;1;9;9;2;2;0,189583333;2;2;1
515;1;2;1;19;4;0;01.37;0;1;0
516;1;2;26;33;5;0;02.06;4;2;0
517;1;1;29;14;4;0;02.59;5;1;0
518;0;2;30;30;1;1;03.07;2;1;1
519;1;1;33;33;1;2;03.04;2;1;1
520;1;3;27;14;4;0;01.27;3;1;0
521;1;2;10;10;1;1;03.04;1;1;1
522;0;2;24;24;3;1;0,178472222;2;2;1
523;1;2;32;20;3;0;02.26;4;1;0
524;0;2;31;31;2;1;03.07;0;1;1
525;1;1;30;25;5;0;01.33;4;2;0
526;1;1;8;29;5;0;0,132638889;1;2;0
527;1;2;13;28;4;0;01.07;2;2;0
528;1;2;3;10;3;0;0,085416667;5;2;0
529;0;1;6;6;1;2;03.01;1;1;1
530;0;3;29;10;4;0;02.23;2;2;0
531;1;1;9;9;2;2;03.28;4;2;1
532;0;2;26;14;4;0;02.32;0;1;0
533;0;1;12;12;2;1;03.07;1;1;1
534;1;2;22;28;5;0;01.57;2;1;0
535;0;3;18;26;3;0;01.49;3;1;0
536;0;1;18;18;2;1;03.06;0;1;1
537;1;3;13;4;5;0;01.25;1;2;0
538;0;1;19;19;1;1;03.01;1;1;1
539;0;1;24;24;3;1;0,190972222;2;2;1
540;0;2;16;16;2;1;0,186111111;2;2;1
541;0;2;14;26;4;0;02.24;0;1;0
542;0;2;20;20;1;1;4;0;1;1
543;1;1;12;12;2;1;0,188888889;4;2;1
544;0;1;30;5;4;0;01.02;5;1;0
545;0;1;21;21;2;2;03.31;2;2;1
546;1;2;33;33;2;1;03.03;3;2;1
547;1;2;27;27;2;1;03.05;1;1;1
548;0;2;5;16;5;0;01.54;0;2;0
549;1;2;21;21;2;2;0,169444444;2;2;1
550;1;2;28;23;3;0;0,098611111;0;1;0
551;1;2;28;17;3;0;01.02;1;1;0
552;0;1;7;7;2;1;03.08;2;1;1
553;1;1;7;7;2;1;0,177083333;3;2;1
554;1;3;2;33;4;0;01.02;1;1;0
555;0;2;9;21;4;0;02.06;2;2;0
556;0;3;16;1;4;0;02.05;4;2;0
557;0;1;17;17;3;1;0,170138889;3;2;1
558;1;2;30;30;3;2;03.41;3;2;1
559;0;1;18;18;3;3;0,178472222;4;2;1
560;1;1;6;6;3;2;0,181944444;3;2;1
561;1;2;25;13;3;0;01.11;2;1;0
562;0;1;5;25;4;0;02.48;4;2;0
563;1;1;3;28;4;0;0,141666667;1;2;0
564;1;2;20;20;2;1;0,185416667;2;2;1
565;0;3;18;12;3;0;0,091666667;0;2;0
566;0;2;4;4;2;3;0,185416667;4;2;1
567;0;1;12;12;1;2;03.01;1;1;1
568;1;3;22;27;3;0;02.44;3;2;0
569;0;1;10;10;2;2;03.06;0;1;1
570;0;1;13;13;2;2;0,171527778;4;2;1
571;0;1;33;33;3;2;0,170138889;2;2;1
572;1;2;25;19;4;0;02.18;4;2;0
573;0;1;33;9;4;0;01.08;2;1;0
574;1;1;3;3;1;2;03.02;0;1;1
575;0;2;1;26;5;0;02.14;2;1;0
576;1;3;13;28;4;0;0,132638889;2;2;0
577;0;2;28;28;2;2;03.01;1;1;1
578;0;2;21;21;2;2;03.04;2;1;1
579;1;1;30;28;5;0;02.36;4;1;0
580;1;1;12;12;3;2;0,172222222;2;2;1
581;1;1;31;31;2;2;03.07;1;1;1
582;0;1;28;28;2;1;03.03;1;1;1
583;1;1;29;29;2;1;03.08;2;1;1
584;1;2;8;19;5;0;01.33;2;2;0
585;1;1;5;5;1;2;03.06;2;1;1
586;0;2;34;25;3;0;0,135416667;1;2;0
587;1;2;21;1;4;0;02.02;3;2;0
588;1;2;4;23;3;0;02.56;3;1;0
589;1;1;11;11;2;1;03.04;2;1;1
590;0;2;7;7;1;1;03.08;1;1;1
591;1;1;13;17;4;0;0,088194444;2;1;0
592;1;1;34;34;1;2;03.01;1;1;1
593;1;1;2;2;2;2;0,175694444;4;2;1
594;1;2;14;14;3;3;0,177083333;4;2;1
595;0;2;27;27;2;2;03.02;1;1;1
596;0;2;29;1;3;0;02.16;3;1;0
597;0;1;4;4;2;1;0,177777778;3;2;1
598;0;1;6;32;4;0;0,129861111;4;2;0
599;1;2;9;9;2;3;03.26;4;2;1
600;1;1;2;2;1;2;03.05;2;1;1
601;1;3;4;1;5;0;01.05;3;1;0
602;1;2;34;34;2;2;03.04;1;1;1
603;0;3;12;28;5;0;01.19;0;2;0
604;1;2;12;12;2;3;03.48;4;2;1
605;1;2;16;16;2;2;03.08;0;1;1
606;0;1;33;11;5;0;0,136111111;3;2;0
607;0;1;12;16;5;0;01.11;1;2;0
608;1;1;6;6;2;2;0,176388889;4;2;1
609;0;1;11;11;4;0;0,089583333;4;1;0
610;0;2;11;32;4;0;01.21;0;2;0
611;0;1;27;27;2;1;0,178472222;2;2;1
612;1;2;17;17;1;1;03.03;2;1;1
613;1;3;12;10;5;0;01.36;5;1;0
614;0;2;10;10;2;2;03.08;0;1;1
615;1;1;18;18;1;1;03.02;1;1;1
616;1;1;18;18;1;2;03.01;0;1;1
617;1;3;26;24;3;0;02.06;2;2;0
618;1;1;13;11;4;0;0,088194444;4;1;0
619;1;1;29;29;2;2;03.09;0;1;1
620;1;2;21;18;3;0;0,127083333;0;2;0
621;1;3;23;6;3;0;02.09;5;2;0
622;0;2;30;30;1;1;4;1;1;1
623;0;1;30;30;3;3;0,172916667;3;2;1
624;1;2;9;9;1;2;03.01;2;1;1
625;0;2;26;11;3;0;01.59;0;2;0
626;0;2;18;18;1;1;03.02;2;1;1
627;0;2;32;32;3;2;03.28;3;2;1
628;0;1;24;3;4;0;01.27;5;1;0
629;0;1;11;11;2;1;03.05;2;1;1
630;0;2;5;5;1;1;03.06;1;1;1
631;0;2;31;31;2;3;0,179166667;4;2;1
632;1;2;14;33;3;0;0,147916667;0;2;0
633;0;3;5;25;4;0;01.17;4;1;0
634;1;1;25;6;5;0;01.28;1;1;0
